Id,DeveloperName,MasterLabel,Status,TotalLicenses,UsedLicenses,PermissionSetLicenseKey,ExpirationDate,LicenseExpirationPolicy,IsSupplementLicense,IsAvailableForIntegrations,CreatedDate,LastModifiedDate
0PLRo0000003MopOAE,BRERuntime,Business Rules Engine Runtime,Active,445,0,BRERuntime,2027-08-02,,false,false,2024-10-17T01:36:06.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000006lCUOAY,SalesBotsPsl,Buyer Assistant,Active,325,0,SalesBotsPsl,2027-08-02,,false,false,2025-08-01T04:08:22.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000005ptBOAQ,ChannelPartnerInventoryReadOnlyPsl,Channel Inventory Read-Only Access,Active,300,0,ChannelPartnerInventoryReadOnlyPsl,2027-08-02,,false,false,2025-04-12T13:14:49.000+0000,2026-08-15T06:02:59.000+0000
0PL5b0000010x5nGAA,CodeBuilderUserPsl,Code Builder,Active,100,0,CodeBuilderUserPsl,2027-08-02,,false,false,2023-10-14T05:06:00.000+0000,2026-08-15T06:02:59.000+0000
0PLRo000000BuTVOA0,CommandCenterPsl,Command Center,Active,1240,0,CommandCenterPsl,2027-08-02,,false,false,2026-07-07T22:36:47.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000003MonOAE,ContextServiceAdminPsl,Context Service Admin,Active,230,0,ContextServiceAdminPsl,2027-08-02,,false,false,2024-10-17T01:36:06.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000003MorOAE,ContextServiceRuntimePsl,Context Service Runtime,Active,290,0,ContextServiceRuntimePsl,2027-08-02,,false,false,2024-10-17T01:36:06.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000001UyXOAU,CallCoachingIntegrationPsl,Conversation Insights Integration User,Active,10,0,CallCoachingIntegrationPsl,2027-08-02,,false,false,2024-05-15T02:57:26.000+0000,2026-08-15T06:02:59.000+0000
0PLU0000000Cdg4OAC,CRMUserPsl,CRM User,Active,300,6,CRMUserPsl,2027-08-02,,false,false,2016-05-07T20:10:06.000+0000,2026-08-15T06:02:59.000+0000
0PLRo00000064tlOAA,CSVAdvancedDataImportPsl,CSV Advanced Data Import,Active,170,0,CSVAdvancedDataImportPsl,2027-08-02,,false,false,2025-04-28T19:41:31.000+0000,2026-08-15T06:02:59.000+0000
0PLRo00000064tmOAA,CSVDataImportPsl,CSV Basic Data Import,Active,170,0,CSVDataImportPsl,2027-08-02,,false,false,2025-04-28T19:41:31.000+0000,2026-08-15T06:02:59.000+0000
0PLRo000000BZ7JOAW,CustomerEngagementAgentPsl,Customer Engagement Agent,Active,20,0,CustomerEngagementAgentPsl,2027-01-12,,false,false,2026-06-18T05:17:06.000+0000,2026-08-15T06:02:59.000+0000
0PLRo000000BZ7KOAW,CustomerEngagementAccessPsl,Customer Engagement Agent Access,Active,100,0,CustomerEngagementAccessPsl,2027-01-12,,false,false,2026-06-18T05:17:06.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000003MosOAE,DecisionExplainerPSL,Decision Explainer Permission Set License,Active,445,0,DecisionExplainerPSL,2027-08-02,,false,false,2024-10-17T01:36:06.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000005ptAOAQ,DesignRegistrationReadOnlyPsl,Design Registration Read Only Access,Active,300,0,DesignRegistrationReadOnlyPsl,2027-08-02,,false,false,2025-04-12T13:14:49.000+0000,2026-08-15T06:02:59.000+0000
0PL4O00000003NBWAY,EinsteinAgentPsl,Einstein Agent,Active,445,1,EinsteinAgentPsl,2027-08-02,,false,false,2020-02-19T08:07:27.000+0000,2026-08-15T06:02:59.000+0000
0PL4O000000bnsRWAQ,EinsteinAgentCWUPsl,Einstein Agent CWU,Active,445,0,EinsteinAgentCWUPsl,2027-08-02,,false,false,2021-06-18T14:03:26.000+0000,2026-08-15T06:02:59.000+0000
