Id,Name,Label,Description,LicenseId,IsCustom,IsOwnedByProfile,ProfileId,Profile.Name,NamespacePrefix,Type,HasActivationRequired,PermissionSetGroupId,CreatedDate,LastModifiedDate
0PS0B000000b7EHWAY,X00e0B000000ZzwRQAS,00e0B000000ZzwRQAS,,100U00000000paUIAQ,true,true,00e0B000000ZzwRQAS,Mobile Instrument Profile,,Profile,false,,2018-07-25T19:23:58.000+0000,2026-06-30T03:31:13.000+0000
0PS0B000000b7VoWAI,X00e0B000000a03XQAQ,00e0B000000a03XQAQ,,100U0000000Hb0mIAC,true,true,00e0B000000a03XQAQ,Accounting + Sales,,Profile,false,,2018-09-10T18:53:51.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000b7tgWAA,X00e0B000000a0CKQAY,00e0B000000a0CKQAY,,100U00000000paUIAQ,true,true,00e0B000000a0CKQAY,Catholic Health Initiatives Profile,,Profile,false,,2018-11-26T16:08:07.000+0000,2026-06-30T03:31:13.000+0000
0PS0B000000b7tlWAA,X00e0B000000a0CPQAY,00e0B000000a0CPQAY,,1000B0000009MXxQAM,true,true,00e0B000000a0CPQAY,Catholic Health Initiatives Portal,,Profile,false,,2018-11-26T16:33:37.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000ic4uWAA,X00e0B000000xXexQAE,00e0B000000xXexQAE,,100U0000000Hb0mIAC,true,true,00e0B000000xXexQAE,Repair Tech,,Profile,false,,2016-12-28T16:29:50.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000icB2WAI,X00e0B000000xXiBQAU,00e0B000000xXiBQAU,,100U0000000Hb0mIAC,true,true,00e0B000000xXiBQAU,Marketing Custom,,Profile,false,,2017-01-26T17:08:25.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000icCtWAI,X00e0B000000xXj4QAE,00e0B000000xXj4QAE,,100U0000000Hb0mIAC,true,true,00e0B000000xXj4QAE,Repair Tech Lead,,Profile,false,,2017-01-31T21:57:17.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000icD3WAI,X00e0B000000xXjEQAU,00e0B000000xXjEQAU,,100U0000000Hb0mIAC,true,true,00e0B000000xXjEQAU,Shipping,,Profile,false,,2017-02-01T13:29:57.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000icD8WAI,X00e0B000000xXjJQAU,00e0B000000xXjJQAU,,100U0000000Hb0mIAC,true,true,00e0B000000xXjJQAU,Accounting,,Profile,false,,2017-02-01T13:33:54.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000icDDWAY,X00e0B000000xXjOQAU,00e0B000000xXjOQAU,,100U0000000Hb0mIAC,true,true,00e0B000000xXjOQAU,QC/Inspection,,Profile,false,,2017-02-01T13:35:05.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000icMyWAI,X00e0B000000xXm8QAE,00e0B000000xXm8QAE,,100U0000000Hb0mIAC,true,true,00e0B000000xXm8QAE,Sales Manager,,Profile,false,,2017-02-16T20:27:00.000+0000,2026-08-12T10:06:52.000+0000
0PS4O000000OaNjWAK,X00e4O000000JQFZQA4,00e4O000000JQFZQA4,,100U0000000Hb0mIAC,true,true,00e4O000000JQFZQA4,Trisonics Sales User,,Profile,false,,2019-04-22T13:38:30.000+0000,2026-08-12T10:06:52.000+0000
