Id,PermissionSetGroupId,PermissionSetGroup.DeveloperName,PermissionSetGroup.MasterLabel,PermissionSetId,PermissionSet.Name,PermissionSet.Label,PermissionSet.Type,CreatedDate,LastModifiedDate
0PMRo0000000A9OOAU,0PGRo00000005KiOAI,Chargent_Standard_User,Chargent Standard User,0PSRo0000002mGhOAI,Chargent_Payment_Methods_Use_Pay_Forms,Chargent Payment Methods Use Pay Forms,Regular,2024-05-31T15:07:33.000+0000,2024-05-31T15:07:33.000+0000
0PMRo0000000A9POAU,0PGRo00000005KiOAI,Chargent_Standard_User,Chargent Standard User,0PSRo0000002mDROAY,Chargent_Create_Payment_Methods,Chargent Create Payment Methods,Regular,2024-05-31T15:07:33.000+0000,2024-05-31T15:07:33.000+0000
0PMRo0000002OFxOAM,0PGRo00000018ErOAI,US_FSL,US FSL,0PSRo0000003wnROAQ,FSL_Dispatcher_Permissions,Field Service Dispatcher Permissions,Regular,2026-02-09T21:23:18.000+0000,2026-02-09T21:23:18.000+0000
0PMRo0000002OFyOAM,0PGRo00000018ErOAI,US_FSL,US FSL,0PSRo0000003wp5OAA,FSL_Mobile_License,Field Service Mobile License,Regular,2026-02-09T21:23:18.000+0000,2026-02-09T21:23:18.000+0000
0PMRo0000002OFzOAM,0PGRo00000018ErOAI,US_FSL,US FSL,0PSRo0000003wp4OAA,FSL_Resource_License,Field Service Resource License,Regular,2026-02-09T21:23:18.000+0000,2026-02-09T21:23:18.000+0000
0PMRo0000002OG0OAM,0PGRo00000018ErOAI,US_FSL,US FSL,0PSRo0000003wp3OAA,FSL_Resource_Permissions,Field Service Resource Permissions,Regular,2026-02-09T21:23:18.000+0000,2026-02-09T21:23:18.000+0000
0PMRo0000005HwHOAU,0PGRo00000005KfOAI,Chargent_Admin_User,Chargent Admin User,0PSRo000000FknJOAS,Chargent_View_All_Modify_All_Payment_Methods,Chargent View All Modify All Payment Methods,Regular,2026-07-07T22:27:26.000+0000,2026-07-07T22:27:26.000+0000
0000001DMb0CNsAAMW,0PGRo0000001DMbOAM,UnifiedCatalogAdminPsl,UnifiedCatalogAdminPsl,0PSRo000000CNsAOAW,UnifiedCatalogAdmin,Unified Catalog Admin,Standard,2026-06-13T00:00:00.000+0000,2026-06-13T00:00:00.000+0000
0000001DMb0CNs5AMG,0PGRo0000001DMbOAM,UnifiedCatalogAdminPsl,UnifiedCatalogAdminPsl,0PSRo000000CNs5OAG,ProductCatalogManagementAdministrator,Product Catalog Management Designer,Standard,2026-06-13T00:00:00.000+0000,2026-06-13T00:00:00.000+0000
0000001DMb04gWxAMI,0PGRo0000001DMbOAM,UnifiedCatalogAdminPsl,UnifiedCatalogAdminPsl,0PSRo0000004gWxOAI,ContextServiceAdminPsl,Context Service Admin,Standard,2026-06-13T00:00:00.000+0000,2026-06-13T00:00:00.000+0000
