Id,ParentId,SobjectType,PermissionsRead,PermissionsCreate,PermissionsEdit,PermissionsDelete,PermissionsViewAllRecords,PermissionsModifyAllRecords
1100B000007sdeeQAA,0PS0B000000b4UMWAY,SocialPost,true,false,false,false,true,false
1100B000007sdefQAA,0PS0B000000b4UMWAY,Solution,true,false,false,false,true,false
1100B000007sdegQAA,0PS0B000000b4UMWAY,StreamingChannel,true,false,false,false,true,false
1100B000007sgLxQAI,0PS0B000000icMyWAI,Evaluation_Natalie__c,true,true,true,false,true,false
1100B000007sgp9QAA,1000B0000009MXxQAM,TimeSheet,true,true,true,false,false,false
1100B000007sgpAQAQ,1000B0000009MXxQAM,Account,true,true,true,false,false,false
1100B000007sgpBQAQ,1000B0000009MXxQAM,Address,true,true,true,false,false,false
1100B000007sgpCQAQ,1000B0000009MXxQAM,Product2,true,false,false,false,false,false
1100B000007sgpDQAQ,1000B0000009MXxQAM,Document,true,false,false,false,false,false
1100B000007sgpEQAQ,1000B0000009MXxQAM,Case,true,true,true,false,false,false
1100B000007sgpFQAQ,1000B0000009MXxQAM,OperatingHours,true,true,true,false,true,false
1100B000007sgpGQAQ,1000B0000009MXxQAM,SocialPost,true,false,false,false,false,false
1100B000007sgpHQAQ,1000B0000009MXxQAM,WorkOrder,true,true,true,false,false,false
1100B000007sgpJQAQ,1000B0000009MXxQAM,Asset,true,true,true,false,false,false
1100B000007sgpKQAQ,1000B0000009MXxQAM,ServiceResource,true,true,true,false,false,false
1100B000007sgpMQAQ,1000B0000009MXxQAM,ProductRequest,true,true,true,false,false,false
1100B000007sgpNQAQ,1000B0000009MXxQAM,Solution,true,false,false,false,false,false
1100B000007sgpOQAQ,1000B0000009MXxQAM,Order,true,true,true,true,false,false
1100B000007sgpPQAQ,1000B0000009MXxQAM,ServiceTerritory,true,true,true,false,false,false
1100B000007sgpQQAQ,1000B0000009MXxQAM,Pricebook2,true,false,false,false,false,false
1100B000007sgpRQAQ,1000B0000009MXxQAM,WorkType,true,true,true,false,false,false
1100B000007sgpSQAQ,1000B0000009MXxQAM,ServiceContract,true,true,true,false,false,false
1100B000007sgpUQAQ,1000B0000009MXxQAM,Shipment,true,true,true,false,false,false
1100B000007sgpVQAQ,1000B0000009MXxQAM,ServiceAppointment,true,true,true,false,false,false
1100B000007sgpWQAQ,1000B0000009MXxQAM,Contact,true,true,true,false,false,false
1100B000007sgpXQAQ,1000B0000009MXxQAM,EntitlementContact,true,true,true,true,false,false
1100B000007sgpYQAQ,1000B0000009MXxQAM,ProductTransfer,true,true,true,false,false,false
1100B000007sgpaQAA,1000B0000009MXxQAM,Entitlement,true,true,true,false,false,false
1100B000007sgpbQAA,1000B0000009MXxQAM,MaintenancePlan,true,true,true,false,false,false
1100B000007sgpcQAA,1000B0000009MXxQAM,Contract,true,true,true,true,false,false
1100B000007sgpdQAA,1000B0000009MXxQAM,ProductItem,true,true,true,false,false,false
1100B000007sgpeQAA,1000B0000009MXxQAM,Location,true,true,true,false,false,false
1100B000007sgpmQAA,100U0000000Hb0mIAC,ProductRequest,true,true,true,true,true,true
1100B000007sgpnQAA,100U0000000Hb0mIAC,ProductTransfer,true,true,true,true,true,true
1100B000007sgpoQAA,100U0000000Hb0mIAC,TimeSheet,true,true,true,true,true,true
1100B000007sgprQAA,100U0000000Hb0mIAC,Shipment,true,true,true,true,true,true
1100B000007sgpsQAA,100U0000000Hb0mIAC,MaintenancePlan,true,true,true,true,true,true
1100B000007sgpzQAA,0PSU0000000SUL3OAO,ServiceResource,true,false,false,false,false,false
1100B000007sgq0QAA,0PSU0000000SUL3OAO,ProductRequest,true,false,false,false,false,false
1100B000007sgq1QAA,0PSU0000000SUL3OAO,ServiceAppointment,true,false,false,false,false,false
1100B000007sgq2QAA,0PSU0000000SUL3OAO,ProductTransfer,true,false,false,false,false,false
1100B000007sgq3QAA,0PSU0000000SUL3OAO,TimeSheet,true,false,false,false,false,false
1100B000007sgq5QAA,0PSU0000000SUL3OAO,ServiceTerritory,true,false,false,false,false,false
1100B000007sgq6QAA,0PSU0000000SUL3OAO,Shipment,true,false,false,false,false,false
1100B000007sgq7QAA,0PSU0000000SUL3OAO,MaintenancePlan,true,false,false,false,false,false
1100B000007sgq9QAA,0PSU0000000SUL3OAO,OperatingHours,true,false,false,false,false,false
1100B000007sgqBQAQ,0PSU0000000SUL3OAO,WorkType,true,false,false,false,false,false
1100B000007sgqCQAQ,0PSU0000000SUL3OAO,ProductItem,true,false,false,false,false,false
1100B000007sgqDQAQ,0PSU0000000SUL4OAO,TimeSheet,true,true,true,false,false,false
