"C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32"
"0PS4O000000WtJEWA0","Purchase_Approval_Checkbox","Purchase Approval Checkbox","Manually check the purchasing approved checkbox on both Asset (ProductItem__c) and Opportunity Product.","false","","","true","Regular","","false","","","","","","0","","","0","0","0","0","0","0","0","4","0","1","2019-07-22 13:56:13 UTC","2025-12-19 20:54:38 UTC","https://probomedical.my.salesforce.com/0PS4O000000WtJEWA0"
"0PS4O0000009Sl0WAE","Purchasing_Fields","Purchasing Fields","","false","","","true","Regular","","false","","","","","","0","","","0","0","0","0","0","0","0","18","0","0","2019-06-19 18:59:42 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS4O0000009Sl0WAE"
"0PSRo0000005hU9OAI","Purchasing_Opportunity_Item_Receipts","Purchasing Opportunity Item Receipts","","false","","","true","Regular","","false","","","","","","0","","","3","3","2","2","1","3","1","19","0","1","2025-02-03 19:42:46 UTC","2025-08-15 15:45:26 UTC","https://probomedical.my.salesforce.com/0PSRo0000005hU9OAI"
"0PS4O000000vLJ7WAM","QC_Bump","QC Bump","","false","","","true","Regular","","false","","","","","","0","","","0","0","0","0","0","0","0","1","0","1","2020-07-16 16:14:50 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS4O000000vLJ7WAM"
"0PSRo0000006TQjOAM","Quality_Team_Permission_Set","Quality Team Permission Set","","false","","","true","Regular","","false","","","","","","0","","","1","1","1","1","0","0","0","217","0","1","2025-03-05 19:52:32 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PSRo0000006TQjOAM"
"0PS5b000000HjoPGAS","RGC_Install_Guide","RGC Install Guide","","false","","","true","Regular","rcsfl","false","","","","","","0","","","0","0","0","0","0","0","0","0","2","2","2022-03-02 13:41:35 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS5b000000HjoPGAS"
"0PSRo000000Cyy5OAC","RMA_FLS_Edit_RMA_Item_Received","RMA - FLS - Edit - RMA Item Received","This has been created to give users access to the ""Date RMA Item Recieved"" field.","false","","","true","Regular","","false","","","","","","0","","","1","1","0","1","0","0","0","1","0","1","2026-04-02 07:52:38 UTC","2026-04-02 07:54:36 UTC","https://probomedical.my.salesforce.com/0PSRo000000Cyy5OAC"
"0PS4O000000vMqzWAE","RMA_Action_without_approval_permissions","RMA Action (without approval permissions)","Edit preliminary assessment, claim status, and action","false","","","true","Regular","","false","","","","","","0","","","1","1","1","1","0","1","0","7","0","0","2021-05-28 14:51:35 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS4O000000vMqzWAE"
"0PSRo0000005iejOAA","RMA_Ownership_Change","RMA Ownership Change","","false","","","true","Regular","","false","","","","","","0","","","1","1","0","1","1","1","1","0","0","0","2025-02-05 16:47:05 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PSRo0000005iejOAA"
"0PS4O0000009WiaWAE","RMA_action_and_approval_permissions","RMA action and approval permissions","","false","","","true","Regular","","false","","","","","","0","","","1","1","0","1","1","1","1","10","0","1","2021-01-11 16:35:45 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS4O0000009WiaWAE"
