"Id","ParentId","SobjectType","PermissionsRead","PermissionsCreate","PermissionsEdit","PermissionsDelete","PermissionsViewAllRecords","PermissionsModifyAllRecords"
"1104O000009dPbzQAE","100U0000000Hb0mIAC","CommSubscriptionConsent","true","true","true","true","true","true"
"1104O000009dPc0QAE","100U0000000Hb0mIAC","CommSubscriptionTiming","true","true","true","true","true","true"
"1104O000009dPc1QAE","100U0000000Hb0mIAC","CommSubscription","true","true","true","true","true","true"
"1104O000009dPc2QAE","100U0000000Hb0mIAC","CommSubscriptionChannelType","true","true","true","true","true","true"
"1104O000009dPc7QAE","1000B0000009MgqQAE","CommSubscriptionTiming","true","false","false","false","true","false"
"1104O000009dPc8QAE","1000B0000009MgqQAE","PartyConsent","true","false","false","false","true","false"
"1104O000009dPc9QAE","1000B0000009MgqQAE","CommSubscription","true","true","true","true","true","true"
"1104O000009dPcAQAU","1000B0000009MgqQAE","CommSubscriptionChannelType","true","true","true","true","true","true"
"1104O000009dPcBQAU","1000B0000009MgqQAE","EngagementChannelType","true","true","true","true","true","true"
"1104O000009dPcCQAU","1000B0000009MgqQAE","CommSubscriptionConsent","true","false","false","false","true","false"
"1104O000009dQy7QAE","1000B0000009MXxQAM","EngagementChannelType","true","true","true","true","false","false"
"1104O000009dQyBQAU","1000B0000009MXxQAM","DelegatedAccount","true","false","false","false","false","false"
"1104O000009dQyFQAU","1000B0000009MXxQAM","PartyConsent","true","true","true","false","false","false"
"1104O000009dQyKQAU","1000B0000009MXxQAM","CommSubscriptionTiming","true","true","true","false","false","false"
"1104O000009dQyMQAU","1000B0000009MXxQAM","CommSubscriptionChannelType","true","false","false","false","false","false"
"1104O000009dQyRQAU","1000B0000009MXxQAM","CommSubscription","true","false","false","false","false","false"
"1104O000009dQyWQAU","1000B0000009MXxQAM","CommSubscriptionConsent","true","true","true","false","false","false"
"1104O000009dQyYQAU","100U00000000paUIAQ","EngagementChannelType","true","true","false","false","false","false"
"1104O000009dQyZQAU","100U00000000paUIAQ","WorkTypeGroup","true","false","false","false","false","false"
"1104O000009dQyaQAE","100U00000000paUIAQ","ServiceTerritory","true","false","false","false","false","false"
