DurableId,QualifiedApiName,Label
01I4O000000tROK,Master_Draw__c,Master Draw
01I4O000000tROL,Service_Report__c,Service Report
01I4O000000tROY,Intacct_Location__c,Intacct Location
01I4O0000019tRK,Warranty_Products__c,Warranty Product
01I4O0000019tRL,Warranty__c,Warranty
01IRo000002CkXy,FSL__Optimization_Request_Queue__c,Optimization Request Queue
01IRo000002CkXz,FSL__Optimization_Request__c,Optimization Request
01I5b000000VFhl,Field_Service_Engineer__c,Field Service Engineer
01I5b000000VFwC,rcsfl__AdminSetting__c,AdminSetting
01I5b000000VFwD,rcsfl__AdminUISetting__c,AdminUISetting
01I5b000000VGGv,LEXMAGICMOVER__NAMAttachmentConversionStatus__c,NAMAttachmentConversionStatus
01I5b000000VGGw,LEXMAGICMOVER__NAMConfig__c,NAMConfig
01I5b000000VGGx,LEXMAGICMOVER__NAMNoteConversionStatus__c,NAMNoteConversionStatus
01I5b000000VGGy,LEXMAGICMOVER__NAMNoteConverted__c,NAMNoteConverted
01I5b000000VGHy,Work_Order_Time_Entry__c,Work Order Time Entry
01IRo000004xZST,Synced_Record_Delete_Log__c,Synced Record Delete Log
01IRo000005r1uL,Product_Repair_Line_Item__c,Product Repair Line Item
01IRo000006l8WX,ctu__CTU_Custom_Field_Ignored__c,CTU Custom Field Ignored
01IRo000006l8WY,ctu__CTU_Mass_Clone__c,CTU Mass Clone
01IRo000006l8Wa,ctu__Field_Default_Value_Obj__c,CTU Field Default Value
01IRo000006l8Wb,ctu__General_Option_Value_Obj__c,CTU General Option Value
01IRo000006vwGj,Engineer_Transfer_Request__c,Engineer Transfer Request
01IRo00000717wH,FSL_Flow_Launch_Record__c,FSL Flow Launch Record
01IRo0000076nmn,Intacct_Sync_Error__c,Intacct Sync Error
01IRo000007BCHx,Maintenance_Item__c,Maintenance Item
01IRo000007Fk05,Employee_Motoring_Status__c,Employee Motoring Status
01IRo000008DvWv,Work_Order_Asset__c,Work Order Asset
01IRo000008RORR,Service_Signature__c,Service Signature
01I5b000000VGVC,Progress_Note__c,Progress Note
01I5b000000VGik,Pricing_Request__c,Pricing Request
01I5b000000VH97,inov8__PMT_Error_Log__c,PMT Error Log
01I5b000000VH98,inov8__PMT_Phase__c,PMT Phase
01I5b000000VH99,inov8__PMT_Program__c,PMT Program
01I5b000000VH9A,inov8__PMT_Project__c,PMT Project
01I5b000000VH9B,inov8__PMT_Resource_Allocation__c,PMT Resource Allocation
01I5b000000VH9C,inov8__PMT_Resource_Availability__c,PMT Resource Availability
01I5b000000VH9E,inov8__PMT_Task__c,PMT Task
01I5b000000VH9M,Change_Log__c,Change Log
01I5b000000VHAy,Project__c,Project
01I5b000000VHB3,Project_Expense__c,Project Expense
01I5b0000003JKY,ChargentBase__Aggregation__c,Chargent Aggregation
01I5b0000003JKa,ChargentBase__Payment_Source__c,Payment Source
01I5b0000003Pln,FlowPersonalConfiguration__c,Flow Personal Configuration
