Id,ParentId,Name,Visibility
01PRo000006v8nQMAQ,0PSRo0000007CCXOA2,standard-EngagementInteraction,DefaultOff
01PRo000006v8nRMAQ,0PSRo0000007CCXOA2,standard-EngagementTopic,DefaultOff
01PRo000006vdj9MAA,0PSRo0000007CFlOAM,standard-EngagementAttendee,DefaultOff
01PRo000006vdjAMAQ,0PSRo0000007CFlOAM,standard-EngagementInteraction,DefaultOff
01PRo000006vdjBMAQ,0PSRo0000007CFlOAM,standard-EngagementTopic,DefaultOff
01PRo000006xnFlMAI,0PSRo0000007DN7OAM,standard-Lead,DefaultOff
01PRo000008GUITMA4,0PSRo0000008WAnOAM,standard-Asset,DefaultOff
01PRo000008GUIUMA4,0PSRo0000008WAnOAM,standard-Contact,DefaultOff
01PRo000008GUIVMA4,0PSRo0000008WAnOAM,standard-Lead,DefaultOff
01PRo000008GUIWMA4,0PSRo0000008WAnOAM,standard-Location,DefaultOff
01PRo000008GUIXMA4,0PSRo0000008WAnOAM,standard-ServiceAppointment,DefaultOff
01PRo000008GUIYMA4,0PSRo0000008WAnOAM,standard-WorkOrder,DefaultOff
01PRo000008GUIZMA4,0PSRo0000008WAnOAM,Inventory_Adjustment__c,DefaultOff
01PRo000008GUIaMAO,0PSRo0000008WAnOAM,RMA__c,DefaultOff
01PRo000008HlltMAC,0PSRo0000008ZwfOAE,standard-Asset,DefaultOff
01PRo000008HlluMAC,0PSRo0000008ZwfOAE,standard-Location,DefaultOff
01PRo000008HllvMAC,0PSRo0000008ZwfOAE,standard-Opportunity,DefaultOff
01PRo000008HllwMAC,0PSRo0000008ZwfOAE,standard-Product2,DefaultOff
01PRo000008HllxMAC,0PSRo0000008ZwfOAE,standard-ProductTransfer,DefaultOff
01PRo000008HllyMAC,0PSRo0000008ZwfOAE,standard-ServiceAppointment,DefaultOff
01PRo000008HllzMAC,0PSRo0000008ZwfOAE,standard-TimeSheet,DefaultOff
01PRo000008Hlm0MAC,0PSRo0000008ZwfOAE,standard-WorkOrder,DefaultOff
