"Field"
"PermissionsBatchManagementUser"
"PermissionsBotManageBots"
"PermissionsBotManageBotsTrainingData"
"PermissionsBREAlertsUserAccess"
"PermissionsBulkApiHardDelete"
"PermissionsBulkMacrosAllowed"
"PermissionsCallCoachingUser"
"PermissionsCampaignInfluence2"
"PermissionsCampDesignerSettingsSetup"
"PermissionsCanAccessCE"
"PermissionsCanApproveFeedPost"
"PermissionsCanApproveUninstalledApps"
"PermissionsCanDoActAsUser"
"PermissionsCanEditDataPrepRecipe"
"PermissionsCanEditPrompts"
"PermissionsCanExitFlowViaAPI"
"PermissionsCanInitiateMessagingSessions"
"PermissionsCanInsertFeedSystemFields"
"PermissionsCanManageMaps"
"PermissionsCanMarketingUserDebugFlow"
"PermissionsCanQueryForeignTables"
"PermissionsCanRunAnalysis"
"PermissionsCanSendInitialSMSToIndividual"
"PermissionsCanUpdateEmailMessage"
"PermissionsCanUseNewDashboardBuilder"
"PermissionsCanVerifyComment"
"PermissionsCanViewDataPrepRecipe"
"PermissionsCdcReportingCreateReports"
"PermissionsCdcReportingManageFolders"
"PermissionsCdcReportingViewReports"
"PermissionsChangeDashboardColors"
"PermissionsChatterComposeUiCodesnippet"
"PermissionsChatterEditOwnPost"
"PermissionsChatterEditOwnRecordPost"
"PermissionsChatterFileLink"
"PermissionsChatterInternalUser"
"PermissionsChatterInviteExternalUsers"
"PermissionsChatterOwnGroups"
"PermissionsClientSecretRotation"
"PermissionsCloseConversations"
"PermissionsCMSECEAuthoringAccess"
"PermissionsCodeBuilderUser"
"PermissionsConfigCustomRecs"
"PermissionsConfigureDataspaceScope"
"PermissionsConnectOrgToEnvironmentHub"
"PermissionsConsentApiUpdate"
"PermissionsConsentBannerSettingsSetup"
"PermissionsContactInspectorUser"
"PermissionsContentAdministrator"
"PermissionsContentHubUser"
"PermissionsContentWorkspaces"
"PermissionsConvertLeads"
"PermissionsCreateAuditFields"
"PermissionsCreateCustomizeDashboards"
"PermissionsCreateCustomizeFilters"
"PermissionsCreateCustomizeReports"
"PermissionsCreateDashboardFolders"
"PermissionsCreateEditNonSetupFlow"
"PermissionsCreateLtngTempFolder"
"PermissionsCreateLtngTempInPub"
"PermissionsCreateModCampaignMemberTrigNonSetupFlow"
"PermissionsCreateModDGTrigNonSetupFlow"
"PermissionsCreateModIndRecNonSetupFlow"
"PermissionsCreateModListTrigNonSetupFlow"
"PermissionsCreateModRecordQueryFlow"
"PermissionsCreatePackaging"
"PermissionsCreateReportFolders"
"PermissionsCreateReportInLightning"
"PermissionsCreateTopics"
"PermissionsCreateWorkspaces"
"PermissionsCustomAppsOnFSMobile"
"PermissionsCustomizeApplication"
"PermissionsCustomMobileAppsAccess"
"PermissionsDataExport"
"PermissionsDebugApex"
"PermissionsDecimalQuantityDesigntime"
"PermissionsDecimalQuantityRuntime"
"PermissionsDecisionTableExecUserAccess"
"PermissionsDecodePreferenceCenterToken"
"PermissionsDelegatedPortalUserAdmin"
"PermissionsDelegatedTwoFactor"
"PermissionsDeleteActivatedContract"
"PermissionsDeleteChangeRequest"
"PermissionsDeleteCrMemoAndInvoice"
"PermissionsDeleteIncident"
"PermissionsDeleteNonSetupFlow"
"PermissionsDeleteProblem"
"PermissionsDeleteSalesforceFiles"
"PermissionsDeleteTopics"
"PermissionsDigitalAgentUser"
"PermissionsDigitalLendingAdminUser"
"PermissionsDigitalLendingEditReadOnly"
"PermissionsDigitalLendingUser"
"PermissionsDigitalLendingWorkbench"
"PermissionsDistributeFromPersWksp"
"PermissionsDownloadMaliciousFiles"
"PermissionsDownloadPackageVersionZips"
"PermissionsDPEOnDemandAccess"
"PermissionsEditActivatedOrders"
"PermissionsEditBillingInfo"
"PermissionsEditBrandTemplates"
"PermissionsEditCaseComments"
"PermissionsEditEvent"
"PermissionsEditHtmlTemplates"
"PermissionsEditKnowledge"
"PermissionsEditMyDashboards"
"PermissionsEditMyReports"
"PermissionsEditOppLineItemUnitPrice"
"PermissionsEditPublicDocuments"
"PermissionsEditPublicFilters"
"PermissionsEditPublicTemplates"
"PermissionsEditReadonlyFields"
"PermissionsEditTask"
"PermissionsEditTopics"
"PermissionsEinsteinAgentPlatformBuilder"
"PermissionsEinsteinCopilotBuilder"
"PermissionsEinsteinCopilotUser"
"PermissionsEinsteinMCDesignerUser"
"PermissionsEmailAdministration"
"PermissionsEmailMass"
"PermissionsEmailSingle"
"PermissionsEmailTemplateManagement"
"PermissionsEmbeddedMessagingAgent"
"PermissionsEMIAdmin"
"PermissionsEMIMarketingDataSpecialist"
"PermissionsEMIMarketingManager"
"PermissionsEmployeeExperience"
"PermissionsEnableBCTransactionPolling"
"PermissionsEnableCommunityAppLauncher"
"PermissionsEnableIPFSUpload"
"PermissionsEnableNotifications"
"PermissionsEngagementConfigUser"
"PermissionsEnhancedSalesMobileExp"
"PermissionsExecutePromptTemplates"
"PermissionsExplainabilityCmtyAccess"
"PermissionsExplainabilityUserAccess"
"PermissionsExportReport"
"PermissionsExternalClientAppAdmin"
"PermissionsExternalClientAppDeveloper"
"PermissionsExternalClientAppViewer"
"PermissionsFeedPinning"
"PermissionsFetchTenantSchemaChanges"
"PermissionsFieldServiceAccess"
"PermissionsFieldServiceCopilotActions"
"PermissionsFieldServiceDispatcher"
"PermissionsFieldServiceLastMile"
"PermissionsFieldServiceMobileApp"
"PermissionsFieldServiceScheduling"
"PermissionsFieldServiceVoiceToForm"
"PermissionsFieldServiceVoiceToRecordEdit"
"PermissionsFinancialServices2UserAccess"
"PermissionsFlowUFLRequired"
"PermissionsForceTwoFactor"
"PermissionsFreezeUsers"
"PermissionsFSCAlertFrameworkUserAccess"
"PermissionsFSCArcGraphCommunityUser"
"PermissionsFSCComprehensiveUserAccess"
"PermissionsGISMapsEnabled"
"PermissionsGiveRecognitionBadge"
"PermissionsGovernNetworks"
"PermissionsGrantOutboundBundling"
"PermissionsHasUnlimitedErbScoringRequests"
"PermissionsHasUnlimitedNBAExecutions"
"PermissionsHeadlessCMSAccess"
"PermissionsHeadlessPublishNudges"
"PermissionsHideReadByList"
"PermissionsHydratePromptTemplateIA"
"PermissionsIdentityConnect"
"PermissionsIdentityEnabled"
"PermissionsIdentityVerificationUserAccess"
"PermissionsImportCustomObjects"
"PermissionsImportLeads"
"PermissionsImportPersonal"
"PermissionsInboundMigrationToolsUser"
"PermissionsIndustriesEpcNextPilot"
"PermissionsInsightsAppAdmin"
"PermissionsInsightsAppDashboardEditor"
"PermissionsInsightsAppEltEditor"
"PermissionsInsightsAppUploadUser"
"PermissionsInsightsAppUser"
"PermissionsInsightsCreateApplication"
"PermissionsInstallPackaging"
"PermissionsIntegrationIntelligenceUser"
"PermissionsIntelligentDocumentProcessing"
"PermissionsInteractionCalcAdminPerm"
"PermissionsInteractionCalcUserPerm"
"PermissionsIsotopeAccess"
"PermissionsIsotopeCToCUser"
"PermissionsIsotopeLEX"
"PermissionsLeadInspectorUser"
"PermissionsLeadScoreResultPublisher"
"PermissionsLeadScoreUser"
"PermissionsLearningManager"
"PermissionsLightningConsoleAllowedForUser"
"PermissionsLightningExperienceUser"
"PermissionsLightningOnFSMobile"
"PermissionsListEmailSend"
"PermissionsLMEndMessagingSessionUserPerm"
"PermissionsLMOutboundMessagingUserPerm"
"PermissionsLobbyManagementUserAccess"
"PermissionsLtngPromoReserved01UserPerm"
"PermissionsManageAccessPolicies"
"PermissionsManageAgentforceServiceAgent"
"PermissionsManageAnalyticSnapshots"
"PermissionsManageApiNamedQueries"
"PermissionsManageAuthProviders"
"PermissionsManageBriefs"
"PermissionsManageBusinessHourHolidays"
"PermissionsManageBusinessUnit"
"PermissionsManageC2CHighVolumePriming"
"PermissionsManageC360AConnections"
"PermissionsManageCallCenters"
"PermissionsManageCampaigns"
"PermissionsManageCases"
"PermissionsManageCategories"
"PermissionsManageCdpMlModels"
"PermissionsManageCertificates"
"PermissionsManageCertificatesExpiration"
"PermissionsManageChatterMessages"
"PermissionsManageCMS"
"PermissionsManageContentPermissions"
"PermissionsManageContentProperties"
"PermissionsManageContentTaxonomy"
"PermissionsManageContentTypes"
"PermissionsManageCssUsers"
"PermissionsManageCustomDomains"
"PermissionsManageCustomerDataOptOut"
"PermissionsManageCustomPermissions"
"PermissionsManageCustomReportTypes"
"PermissionsManageDashbdsInPubFolders"
"PermissionsManageDataAnalyticsGroups"
"PermissionsManageDataCategories"
"PermissionsManageDataIntegrations"
"PermissionsManageDataProcessingEngine"
"PermissionsManageDataspaceScope"
"PermissionsManageDevSandboxes"
"PermissionsManageDynamicDashboards"
"PermissionsManageEmailClientConfig"
"PermissionsManageEmailContent"
"PermissionsManageEmailMessagingSetup"
"PermissionsManageEntitlements"
"PermissionsManageExchangeConfig"
"PermissionsManageExternalConnections"
"PermissionsManageFilesAndAttachments"
"PermissionsManageGlobalPrivacyCenterVO"
"PermissionsManageHealthAssessments"
"PermissionsManageHealthCheck"
"PermissionsManageHerokuAppLink"
"PermissionsManageHubConnections"
"PermissionsManageIntegrationConnections"
"PermissionsManageIntegrationPortals"
"PermissionsManageInteraction"
"PermissionsManageInternalUsers"
"PermissionsManageIpAddresses"
"PermissionsManageKnowledge"
"PermissionsManageKnowledgeImportExport"
"PermissionsManageLeads"
"PermissionsManageLearningReporting"
"PermissionsManageLoginAccessPolicies"
"PermissionsManageMaliciousFiles"
"PermissionsManageMarketingObjects"
"PermissionsManageMobile"
"PermissionsManageMobileAppSecurity"
"PermissionsManageMyExternalUsers"
"PermissionsManageNamedCredentials"
"PermissionsManageNetworks"
"PermissionsManageOrchestrationRuns"
"PermissionsManageOrchInstsAndWorkItems"
"PermissionsManagePartners"
"PermissionsManagePasswordPolicies"
"PermissionsManagePreferenceCenter"
"PermissionsManageProductCatalog"
"PermissionsManageProductDiscovery"
"PermissionsManageProfilesPermissionsets"
"PermissionsManagePromptTemplates"
"PermissionsManagePropositions"
"PermissionsManagePvtRptsAndDashbds"
"PermissionsManageRecommendationStrategies"
"PermissionsManageReleaseUpdates"
"PermissionsManageRemoteAccess"
"PermissionsManageReportsInPubFolders"
"PermissionsManageRoles"
"PermissionsManageSALifecycle"
"PermissionsManageSandboxes"
"PermissionsManageSearchPromotionRules"
"PermissionsManageSessionPermissionSets"
"PermissionsManageSharedListViews"
"PermissionsManageSharing"
"PermissionsManageSMSDomainSetup"
"PermissionsManageSocialPosting"
"PermissionsManageSolutions"
"PermissionsManageSubscriptions"
"PermissionsManageSurveys"
"PermissionsManageSvcCatalog"
"PermissionsManageSynonyms"
"PermissionsManageTemplatedApp"
"PermissionsManageTrustMeasures"
"PermissionsManageTwoFactor"
"PermissionsManageUnlistedGroups"
"PermissionsManageUsers"
"PermissionsMarketingActionableListUser"
"PermissionsMarketingAdmin"
"PermissionsMassInlineEdit"
"PermissionsMCGSetupUserPerm"
"PermissionsMCPMetadataApi"
"PermissionsMcScoringRulesConfig"
"PermissionsMeetingEngagementUser"
"PermissionsMergeTopics"
"PermissionsMetadataStudioUser"
"PermissionsMicrobatching"
"PermissionsMngBenVerfForAssistiveAgnt"
"PermissionsMobileAppSecurity"
"PermissionsMobileMessagingAgent"
"PermissionsModerateChatter"
"PermissionsModerateNetworkFeeds"
"PermissionsModerateNetworkFiles"
"PermissionsModerateNetworkMessages"
"PermissionsModerateNetworkUsers"
"PermissionsModifyAccessAllowPolicies"
"PermissionsModifyAccessDenyPolicies"
"PermissionsModifyAllData"
"PermissionsModifyAllMarketingObjectRecords"
"PermissionsModifyAllPolicyCenterPolicies"
"PermissionsModifyDataClassification"
"PermissionsModifyMetadata"
"PermissionsMonitorLoginHistory"
"PermissionsNativeWebviewScrolling"
"PermissionsNewReportBuilder"
"PermissionsOpportunityInfluence"
"PermissionsOpportunityScoreUser"
"PermissionsOptOutGeoLocationTracking"
"PermissionsOrgPerformanceAccess"
"PermissionsOutboundMigrationToolsUser"
"PermissionsPackaging2"
"PermissionsPackaging2Delete"
"PermissionsPardotUser"
"PermissionsPasswordNeverExpires"
"PermissionsPerformanceAnalysisAccess"
"PermissionsPersonalizationDecisioningUser"
"PermissionsPersonalizationIntelUser"
"PermissionsPersonalizationPlatform"
"PermissionsPersonalizedFinanceUserAccess"
"PermissionsPortalSuperUser"
"PermissionsPreventClassicExperience"
"PermissionsPreviewExperienceUser"
"PermissionsPreviewTestSendEmail"
"PermissionsPrismBackofficeUser"
"PermissionsPrismPlaygroundUser"
"PermissionsPrivacyDataAccess"
"PermissionsPrmExtIntPrtnrAdminUser"
"PermissionsProductAdmin"
"PermissionsProductCatalogApiAccess"
"PermissionsProductCatalogMgmtApiCCAccess"
"PermissionsProductCatalogMgmtApiPCAccess"
"PermissionsProductCatalogMgmtBaseCCUser"
"PermissionsProductCatalogMgmtBasePCUser"
"PermissionsProductDiscoveryUser"
"PermissionsProposeMajorIncidents"
"PermissionsPublishPackaging"
"PermissionsQrCodeGeneratorMobilePublisherPlayground"
"PermissionsQueryAllFiles"
"PermissionsQueryNonVetoedFiles"
"PermissionsQuipMetricsAccess"
"PermissionsQuipUserEngagementMetrics"
"PermissionsReadConfigurationItemInformation"
"PermissionsReassignOrchestrationWorkItems"
"PermissionsRebookWithAgentforceFromDispatchConsole"
"PermissionsRecordVisibilityAPI"
"PermissionsRegrelloUser"
"PermissionsRemoveDirectMessageMembers"
"PermissionsReopenProblems"
"PermissionsResetPasswords"
"PermissionsResolveChgRqstAssoc"
"PermissionsResolveIncAssoc"
"PermissionsResolveProbAssoc"
"PermissionsRunCatalogItemsOnBehalfOf"
"PermissionsRunDecisionMatrix"
"PermissionsRunExpressionSet"
"PermissionsRunFlow"
"PermissionsRunGlobalOptimization"
"PermissionsRunInDayOptimization"
"PermissionsRunMyDayUser"
"PermissionsRunReports"
"PermissionsRunResourceScheduleOptimization"
"PermissionsSalesActionPlansUserAccess"
"PermissionsSalesConsole"
"PermissionsSalesforceForecastingUser"
"PermissionsSalesforceIQInbox"
"PermissionsSalesforceIQInternal"
"PermissionsSalesforceMeetingsUserPerm"
"PermissionsSalesInsightsUser"
"PermissionsSandboxTestingInCommunityApp"
"PermissionsSCEViewAllData"
"PermissionsScheduleJob"
"PermissionsScheduleReports"
"PermissionsSegmentIntelligenceUser"
"PermissionsSelectFilesFromSalesforce"
"PermissionsSendAnnouncementEmails"
"PermissionsSendCustomNotifications"
"PermissionsSendEmail"
"PermissionsSendExternalEmailAvailable"
"PermissionsSendSitRequests"
"PermissionsServiceExcellencePlatformUser"
"PermissionsSetAdvancedOptimizationFilters"
"PermissionsSetupAgentBuilder"
"PermissionsSetupAgentUser"
"PermissionsShareFilesWithNetworks"
"PermissionsShareInternalArticles"
"PermissionsShowCompanyNameAsUserBadge"
"PermissionsShowExplanationsForCandidateResults"
"PermissionsShowPlannedRoute"
"PermissionsShowPreWorkBriefGA"
"PermissionsSimpleCsvDataImportUser"
"PermissionsSkipIdentityConfirmation"
"PermissionsSlackFromTableau"
"PermissionsSolutionImport"
"PermissionsStageManagementDesignUser"
"PermissionsStdAutomaticActivityCapture"
"PermissionsSubmitMacrosAllowed"
"PermissionsSubscribeDashboardRolesGrps"
"PermissionsSubscribeDashboardToOtherUsers"
"PermissionsSubscribeReportRolesGrps"
"PermissionsSubscribeReportsRunAsUser"
"PermissionsSubscribeReportToOtherUsers"
"PermissionsSubscribeToLightningDashboards"
"PermissionsSubscribeToLightningReports"
"PermissionsSuitesAgentEscalationPerm"
"PermissionsTableauCreateDashboard"
"PermissionsTableauCreateVisualization"
"PermissionsTableauCreateWorkspace"
"PermissionsTableauShareSnapshot"
"PermissionsTableauViewDashboard"
"PermissionsTableauViewVisualization"
"PermissionsTableauViewWorkspace"
"PermissionsTerritoryOperations"
"PermissionsTraceXdsQueries"
"PermissionsTransactionalEmailSend"
"PermissionsTransferAnyCase"
"PermissionsTransferAnyEntity"
"PermissionsTransferAnyLead"
"PermissionsTwoFactorApi"
"PermissionsUmaEditConsentSettings"
"PermissionsUmaQueryCMSEmailContent"
"PermissionsUMAStandaloneUserPerm"
"PermissionsUMAWebTrackingSetup"
"PermissionsUnifiedCatalogAdminPerm"
"PermissionsUnifiedCatalogAgentPerm"
"PermissionsUnifiedCatalogDesignGAPerm"
"PermissionsUnifiedCatalogRuntimePerm"
"PermissionsUnifiedEHDViewer"
"PermissionsUpdateReportTypeReferences"
"PermissionsUpdateWithInactiveOwner"
"PermissionsUseAnyApiAuth"
"PermissionsUseAssistantDialog"
"PermissionsUseInboxSchedulingOnBehalfOf"
"PermissionsUseMySearch"
"PermissionsUseQuerySuggestions"
"PermissionsUserCanDeployStore"
"PermissionsUseRestrictedTheme"
"PermissionsUserHasSendToListFilterAccess"
"PermissionsUserInteractionInsights"
"PermissionsUseServiceCatalogForGuest"
"PermissionsUseServicePartReturn"
"PermissionsUseSetupWithAgentforce"
"PermissionsUseSubscriptionEmails"
"PermissionsUseSvcCatalog"
"PermissionsUseTeamReassignWizards"
"PermissionsUseTeamsForEmployee"
"PermissionsUseTeamsForItSrvcs"
"PermissionsUseTemplatedApp"
"PermissionsUseWebLink"
"PermissionsVideoConferenceMeetUser"
"PermissionsVideoConferenceTeamsUser"
"PermissionsVideoConferenceZoomUser"
"PermissionsViewAccessPolicies"
"PermissionsViewAgtfrceAnlytDshbrd"
"PermissionsViewAllActivities"
"PermissionsViewAllCalls"
"PermissionsViewAllCustomSettings"
"PermissionsViewAllData"
"PermissionsViewAllFieldsGlobal"
"PermissionsViewAllForeignKeyNames"
"PermissionsViewAllMarketingObjectRecords"
"PermissionsViewAllNonSetupFlows"
"PermissionsViewAllPolicyCenterPolicies"
"PermissionsViewAllProfiles"
"PermissionsViewAllUsers"
"PermissionsViewApiNamedQueries"
"PermissionsViewBusinessUnit"
"PermissionsViewCaseAnlytDshbrd"
"PermissionsViewChangeRequestAnlytDshbrd"
"PermissionsViewChangeRequestDshbrd"
"PermissionsViewClientSecret"
"PermissionsViewContent"
"PermissionsViewContentTaxonomy"
"PermissionsViewCustomerSentiment"
"PermissionsViewDataAssessment"
"PermissionsViewDataCategories"
"PermissionsViewDeveloperName"
"PermissionsViewEmailMessagingSetup"
"PermissionsViewEncryptedData"
"PermissionsViewEventLogFiles"
"PermissionsViewForecastingPredictive"
"PermissionsViewGlobalHeader"
"PermissionsViewHealthAssessments"
"PermissionsViewHealthCheck"
"PermissionsViewHelpLink"
"PermissionsViewIncidentAnlytDshbrd"
"PermissionsViewIncidentFulfrDshbrd"
"PermissionsViewIncidentMgrDshbrd"
"PermissionsViewItLeaderAnlytDshbrd"
"PermissionsViewItsmConsoleAsFulfr"
"PermissionsViewItsmConsoleHmpg"
"PermissionsViewKnwlgAnlytDshbrd"
"PermissionsViewLicenseUtilization"
"PermissionsViewMLModels"
"PermissionsViewMyTeamsDashboards"
"PermissionsViewNonSetupFlow"
"PermissionsViewOmnichnlAnlytDshbrd"
"PermissionsViewOnlyEmbeddedAppUser"
"PermissionsViewOrchestrationsInAutomApp"
"PermissionsViewPrivateStaticResources"
"PermissionsViewProblemFulfrDshbrd"
"PermissionsViewProblemMgrDshbrd"
"PermissionsViewProductCatalogObjects"
"PermissionsViewProductLimits"
"PermissionsViewPublicCapstoneFolders"
"PermissionsViewPublicDashboards"
"PermissionsViewPublicReports"
"PermissionsViewRecommendations"
"PermissionsViewRestrictionAndScopingRules"
"PermissionsViewRoles"
"PermissionsViewSALifecycle"
"PermissionsViewSecurityCommandCenter"
"PermissionsViewSetup"
"PermissionsViewTrustMeasures"
"PermissionsViewUMACalendar"
"PermissionsViewUserPII"
"PermissionsWaveCommunityUser"
"PermissionsWaveManagePrivateAssetsUser"
"PermissionsWaveTabularDownload"
"PermissionsWaveTrendReports"
"PermissionsYourAccountCDAPublishEvents"
