Id,Name,Label,IsOwnedByProfile,PermissionsSendExternalEmailAvailable,PermissionsSendSitRequests,PermissionsServiceExcellencePlatformUser,PermissionsSetAdvancedOptimizationFilters,PermissionsSetupAgentBuilder,PermissionsSetupAgentUser,PermissionsShareFilesWithNetworks,PermissionsShareInternalArticles,PermissionsShowCompanyNameAsUserBadge,PermissionsShowExplanationsForCandidateResults,PermissionsShowPlannedRoute,PermissionsShowPreWorkBriefGA,PermissionsSimpleCsvDataImportUser,PermissionsSkipIdentityConfirmation,PermissionsSlackFromTableau,PermissionsSolutionImport,PermissionsStageManagementDesignUser,PermissionsStdAutomaticActivityCapture,PermissionsSubmitMacrosAllowed,PermissionsSubscribeDashboardRolesGrps,PermissionsSubscribeDashboardToOtherUsers,PermissionsSubscribeReportRolesGrps,PermissionsSubscribeReportsRunAsUser,PermissionsSubscribeReportToOtherUsers,PermissionsSubscribeToLightningDashboards,PermissionsSubscribeToLightningReports,PermissionsSuitesAgentEscalationPerm,PermissionsTableauCreateDashboard,PermissionsTableauCreateVisualization,PermissionsTableauCreateWorkspace,PermissionsTableauShareSnapshot,PermissionsTableauViewDashboard,PermissionsTableauViewVisualization,PermissionsTableauViewWorkspace,PermissionsTerritoryOperations,PermissionsTraceXdsQueries,PermissionsTransactionalEmailSend,PermissionsTransferAnyCase,PermissionsTransferAnyEntity,PermissionsTransferAnyLead,PermissionsTwoFactorApi,PermissionsUmaEditConsentSettings,PermissionsUmaQueryCMSEmailContent,PermissionsUMAStandaloneUserPerm,PermissionsUMAWebTrackingSetup,PermissionsUnifiedCatalogAdminPerm,PermissionsUnifiedCatalogAgentPerm,PermissionsUnifiedCatalogDesignGAPerm,PermissionsUnifiedCatalogRuntimePerm,PermissionsUnifiedEHDViewer,PermissionsUpdateReportTypeReferences,PermissionsUpdateWithInactiveOwner,PermissionsUseAnyApiAuth,PermissionsUseAssistantDialog,PermissionsUseInboxSchedulingOnBehalfOf,PermissionsUseMySearch,PermissionsUseQuerySuggestions,PermissionsUserCanDeployStore,PermissionsUseRestrictedTheme,PermissionsUserHasSendToListFilterAccess,PermissionsUserInteractionInsights,PermissionsUseServiceCatalogForGuest,PermissionsUseServicePartReturn,PermissionsUseSetupWithAgentforce,PermissionsUseSubscriptionEmails,PermissionsUseSvcCatalog,PermissionsUseTeamReassignWizards,PermissionsUseTeamsForEmployee,PermissionsUseTeamsForItSrvcs,PermissionsUseTemplatedApp,PermissionsUseWebLink,PermissionsVideoConferenceMeetUser,PermissionsVideoConferenceTeamsUser,PermissionsVideoConferenceZoomUser,PermissionsViewAccessPolicies,PermissionsViewAgtfrceAnlytDshbrd,PermissionsViewAllActivities,PermissionsViewAllCalls,PermissionsViewAllCustomSettings,PermissionsViewAllData
0PS0B000000b6E6WAI,Edit_Ratings_Object,Edit Ratings Object,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
0PS0B000000b6FJWAY,X00e0B000000ZzPhQAK,00e0B000000ZzPhQAK,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true
0PS0B000000b6HZWAY,Edit_cost_fields,Edit cost fields,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
0PS0B000000b6KdWAI,Full_access_to_evaluations,Full access to evaluations,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
0PS0B000000b6LHWAY,Full_access_to_HTML_email_templates,Full access to HTML email templates,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
0PS0B000000b6MAWAY,X00e0B000000ZzSWQA0,00e0B000000ZzSWQA0,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false
0PS0B000000b6MFWAY,X00e0B000000ZzSbQAK,00e0B000000ZzSbQAK,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false
0PS0B000000b6NDWAY,Create_new_assets,Create new assets,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
0PS0B000000b6NNWAY,X00e0B000000ZzTFQA0,00e0B000000ZzTFQA0,true,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false
0PS0B000000b6NmWAI,Shipping_Receiving,Shipping/Receiving,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
