Id,Name,UserLicenseId,UserLicense.Name,UserType,Description,CreatedDate,LastModifiedDate
00e5b000000YaxwAAC,Renovo Portal,1000B0000009MXxQAM,Customer Community Plus,PowerCustomerSuccess,,2022-03-21T21:38:15.000+0000,2026-08-12T10:06:52.000+0000
00e5b000000YaxrAAC,Renovo Solutions Profile,100U00000000paUIAQ,Guest User License,Guest,,2022-03-21T21:06:48.000+0000,2026-06-30T03:31:13.000+0000
00e0B000000xXexQAE,Repair Tech,100U0000000Hb0mIAC,Salesforce,Standard,Restricted license,2016-12-28T16:29:50.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000xXj4QAE,Repair Tech Lead,100U0000000Hb0mIAC,Salesforce,Standard,,2017-01-31T21:57:17.000+0000,2026-08-12T10:06:52.000+0000
00e5b000000YaxXAAS,Sales Insights Integration User,1005b000000GwZnAAK,Sales Insights Integration User,Standard,,2022-03-15T14:13:19.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000xXm8QAE,Sales Manager,100U0000000Hb0mIAC,Salesforce,Standard,,2017-02-16T20:27:00.000+0000,2026-08-12T10:06:52.000+0000
00eU0000000JI8fIAG,Sales User,100U0000000Hb0mIAC,Salesforce,Standard,,2015-03-27T18:45:39.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000Zz5SQAS,Sales with Purchasing,100U0000000Hb0mIAC,Salesforce,Standard,,2017-11-29T16:15:15.000+0000,2026-08-12T10:06:52.000+0000
00e5b00000132SNAAY,Salesforce API Only System Integrations,1005b000000hWDGAA2,Salesforce Integration,Standard,,2023-03-17T05:33:48.000+0000,2026-08-12T10:06:52.000+0000
00e5b000000YaxYAAS,SalesforceIQ Integration User,1005b000000GwZoAAK,SalesforceIQ Integration User,Standard,,2022-03-15T14:13:22.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000xXjEQAU,Shipping,100U0000000Hb0mIAC,Salesforce,Standard,,2017-02-01T13:29:57.000+0000,2026-08-12T10:06:52.000+0000
00eU0000000JBTdIAO,Soapbox Mailer Email Tracking Profile,100U00000000paUIAQ,Guest User License,Guest,,2014-08-24T17:20:36.000+0000,2026-06-30T03:31:13.000+0000
00e5b000000YahEAAS,Sodexo Portal,1000B0000009MXxQAM,Customer Community Plus,PowerCustomerSuccess,,2022-01-28T19:03:35.000+0000,2026-08-12T10:06:52.000+0000
00e5b000000YagGAAS,Sodexo Portal Profile,100U00000000paUIAQ,Guest User License,Guest,,2022-01-17T18:21:27.000+0000,2026-06-30T03:31:13.000+0000
00e5b000000Yah9AAC,Sodexo Profile,100U00000000paUIAQ,Guest User License,Guest,,2022-01-28T18:49:36.000+0000,2026-06-30T03:31:13.000+0000
00eU0000000iBdwIAE,Solution Manager,100U0000000Hb0mIAC,Salesforce,Standard,,2014-05-16T18:55:04.000+0000,2026-08-12T10:06:52.000+0000
00eRo000009h8JjIAI,Sourcing - UK,100U0000000Hb0mIAC,Salesforce,Standard,,2024-11-07T10:08:38.000+0000,2026-08-12T10:06:52.000+0000
00eU0000000iBduIAE,Standard User,100U0000000Hb0mIAC,Salesforce,Standard,,2014-05-16T18:55:04.000+0000,2026-08-12T10:06:52.000+0000
00e4O000001ADgLQAW,Super User Admin,100U0000000Hb0mIAC,Salesforce,Standard,,2021-04-12T23:05:16.000+0000,2026-08-12T10:06:52.000+0000
00eU0000000iBdrIAE,System Administrator,100U0000000Hb0mIAC,Salesforce,Standard,,2014-05-16T18:55:04.000+0000,2026-08-12T10:06:52.000+0000
00e4O000000NUJUQA4,System Administrator Custom,100U0000000Hb0mIAC,Salesforce,Standard,,2019-12-31T18:21:04.000+0000,2026-08-12T10:06:52.000+0000
00eU0000000FNLbIAO,System Administrator Custom 2,100U0000000Hb0mIAC,Salesforce,Standard,,2016-07-23T07:18:19.000+0000,2026-08-12T10:06:52.000+0000
00eRo000006U9dVIAS,Tampa General Community Portal,1000B0000009MXxQAM,Customer Community Plus,PowerCustomerSuccess,,2024-07-23T19:04:48.000+0000,2026-08-12T10:06:52.000+0000
00eRo000006TgGXIA0,Tampa General Customer Portal Profile,100U00000000paUIAQ,Guest User License,Guest,,2024-07-23T16:25:37.000+0000,2026-06-30T03:31:13.000+0000
00eRo000006Tx2uIAC,Tampa General Portal Profile,100U00000000paUIAQ,Guest User License,Guest,,2024-07-23T18:54:35.000+0000,2026-06-30T03:31:14.000+0000
00e4O000000JQFZQA4,Trisonics Sales User,100U0000000Hb0mIAC,Salesforce,Standard,,2019-04-22T13:38:30.000+0000,2026-08-12T10:06:52.000+0000
00e4O000001ADhdQAG,Work Orders Profile,100U00000000paUIAQ,Guest User License,Guest,,2021-04-20T12:12:30.000+0000,2026-06-30T03:31:14.000+0000
