Id,Name,Location__c,Sub_Location__c,Current_Location__c,Inventory_Count_Date__c,Stock_Checked__c,LastModifiedDate
a065b00000bnaMgAAI,144467,"Tampa, FL","Tampa, FL",TPA | FG | 125 | F1,2026-04-10,,2026-06-19T15:26:17.000+0000
a065b00000bnaMhAAI,144471,"Tampa, FL","Tampa, FL",TPA | FG | 125 | E1,2026-04-10,,2026-06-19T15:26:17.000+0000
a065b00000bnaN0AAI,144470,"Tampa, FL","Tampa, FL",TPA | FG | 125 | F1,2026-04-10,,2026-06-19T15:26:17.000+0000
a065b00000bnaNKAAY,144472,"Tampa, FL","Tampa, FL",TPA | FG | 125 | F1,2026-04-10,,2026-06-19T15:26:17.000+0000
a065b00000bnc4XAAQ,144591,"Tampa, FL","Tampa, FL",TPA | FG | 135 | C4,2026-04-10,,2026-06-19T15:26:21.000+0000
a065b00000bnc89AAA,144594,"Tampa, FL","Tampa, FL",TPA | FG | 135 | B4,2026-04-10,,2026-06-19T15:26:21.000+0000
a065b00000bnctAAAQ,144666,"Tampa, FL","Tampa, FL",TPA | FG | 135 | E2,2026-04-10,,2026-06-19T15:26:22.000+0000
a065b00000bnfDXAAY,144751,"Tampa, FL","Tampa, FL",TPA | FG | 115 | B4,2026-04-10,,2026-06-19T15:26:25.000+0000
a065b00000bnjYsAAI,145166,"Tampa, FL","Tampa, FL",TPA | FG | 100 | K1,2026-04-10,,2026-06-19T15:26:34.000+0000
a065b00000bnkqtAAA,145241,"Tampa, FL","Tampa, FL",TPA | FG | 120 | C4,2026-04-10,,2026-06-19T15:26:37.000+0000
a065b00000bnkwfAAA,145248,"Tampa, FL","Tampa, FL",TPA | FG | 110 | A2,2026-04-10,,2026-06-19T15:26:37.000+0000
a065b00000bnlMKAAY,145303,"Tampa, FL","Tampa, FL",TPA | FG | 110 | E3,2026-04-10,,2026-06-19T15:26:38.000+0000
