"Id","Name","Stock_Checked__c","Inventory_Count_Date__c","Location__c","Current_Location__c","Physical_Location__c"
"a06Ro00000CNXhvIAH","342451","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C02B",""
"a06Ro00000CNXhwIAH","342452","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C02B",""
"a06Ro00000CNXhxIAH","342453","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C02B",""
"a06Ro00000CNXhyIAH","342454","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C02B",""
"a06Ro00000CNXhzIAH","342455","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C02B",""
"a06Ro00000CNXi0IAH","342456","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C02B",""
"a06Ro00000CNXi6IAH","342462","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C02B","Salt Lake City, UT"
"a06Ro00000CNZSoIAP","332607","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08B",""
"a06Ro00000CNZSpIAP","332608","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08B",""
"a06Ro00000CNZSqIAP","332609","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08B",""
"a06Ro00000CNZSrIAP","332610","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZSsIAP","332611","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZStIAP","332612","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZSuIAP","332613","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZSvIAP","332614","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZSwIAP","332615","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZSxIAP","332616","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZSyIAP","332617","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZSzIAP","332618","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZT0IAP","332619","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZT1IAP","332620","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZT2IAP","332621","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZT3IAP","332622","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZT4IAP","332623","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZT5IAP","332624","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZT6IAP","332625","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZT7IAP","332626","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZT8IAP","332627","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZT9IAP","332628","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZTAIA5","332629","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZTBIA5","332630","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZTCIA5","332631","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZTDIA5","332632","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZTEIA5","332633","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZTFIA5","332634","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZTGIA5","332635","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZTHIA5","332636","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F08A",""
"a06Ro00000CNZTKIA5","334709","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F04D",""
"a06Ro00000CNZTLIA5","334710","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F04D",""
"a06Ro00000CNZTMIA5","334711","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F04D",""
"a06Ro00000CNZTNIA5","334712","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F04D",""
"a06Ro00000CNZTOIA5","334713","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake City, UT | Main G 12F","Milwaukee, WI"
"a06Ro00000CNZTiIAP","334733","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake City, UT | Main F 04D","Milwaukee, WI"
"a06Ro00000CNZTjIAP","334734","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake City, UT | Main F 04D","Milwaukee, WI"
"a06Ro00000CNZTkIAP","334735","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F04D",""
"a06Ro00000CNZTlIAP","334736","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake, UT  - Main - F04D",""
"a06Ro00000CNaKAIA1","339635","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A1",""
"a06Ro00000CNaKBIA1","339636","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC08F3C",""
"a06Ro00000CNaKCIA1","339637","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A3",""
"a06Ro00000CNaKDIA1","339638","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A4",""
"a06Ro00000CNaKEIA1","339639","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A4",""
"a06Ro00000CNaKFIA1","339640","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01B3",""
"a06Ro00000CNaKGIA1","339641","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC04A3",""
